Date,Gender,Region,Device Category,Age,Users,Transactions
20220507,male,New York,desktop,25-34,287,0
20220506,male,New York,desktop,25-34,250,4
20220927,male,California,desktop,25-34,234,265
20220926,male,California,desktop,25-34,204,163
20221207,male,California,desktop,25-34,144,64
20220507,male,New York,desktop,18-24,136,8
20221012,male,California,desktop,25-34,136,79
20210719,male,California,desktop,25-34,132,95
20220927,female,California,desktop,25-34,129,113
20220927,male,California,desktop,18-24,129,76
20221128,female,California,desktop,25-34,129,87
20221128,male,California,desktop,25-34,129,79
20220507,female,New York,desktop,18-24,125,0
20220507,female,New York,desktop,25-34,125,0
20210719,female,California,desktop,25-34,121,42
20220926,female,California,desktop,25-34,117,95
20210720,male,California,desktop,25-34,113,45
20220506,male,New York,desktop,18-24,113,0
20220926,male,California,desktop,35-44,113,34
20220927,male,California,desktop,35-44,113,91
20210722,male,California,desktop,25-34,110,60
20220324,male,California,desktop,25-34,110,23
20220506,male,New York,desktop,35-44,110,0
20220512,male,New York,desktop,25-34,110,0
20220927,female,California,desktop,18-24,110,140
20220514,male,New York,desktop,25-34,106,0
20221101,female,California,desktop,25-34,102,72
20221103,female,California,desktop,25-34,102,45
20220507,male,New York,desktop,35-44,98,0
20221104,male,California,desktop,25-34,98,42
20210721,male,California,desktop,35-44,95,57
20220506,female,New York,desktop,18-24,95,0
20221012,male,California,desktop,35-44,95,42
20221101,male,California,desktop,25-34,95,64
20220926,male,California,desktop,18-24,91,68
20221103,male,California,desktop,25-34,91,60
20221118,male,California,desktop,25-34,91,26
20210719,female,California,desktop,18-24,87,26
20210719,male,California,desktop,45-54,87,19
20210722,female,California,desktop,25-34,87,26
20210726,male,California,desktop,25-34,87,26
20211026,male,California,desktop,25-34,87,34
20221104,female,California,desktop,25-34,87,38
20221116,female,California,desktop,25-34,87,42
20221207,male,California,desktop,18-24,87,26
20211005,female,California,desktop,25-34,83,38
20211104,female,California,desktop,25-34,83,30
20220512,male,New York,desktop,18-24,83,0
20220613,female,California,desktop,25-34,83,42
20221117,male,California,desktop,25-34,83,19
20220729,male,California,desktop,18-24,79,53
20220804,male,California,desktop,25-34,79,11
20220805,male,California,desktop,25-34,79,49
20220808,male,California,desktop,25-34,79,45
20220809,male,California,desktop,25-34,79,38
20220818,male,California,desktop,25-34,79,23
20220927,male,California,desktop,45-54,79,60
20221128,male,California,desktop,18-24,79,23
20221128,male,California,desktop,35-44,79,49
20210720,female,California,desktop,25-34,76,30
20210721,male,California,desktop,25-34,76,4
20210825,male,California,desktop,25-34,76,30
20211109,male,California,desktop,25-34,76,19
20220324,female,California,desktop,25-34,76,45
20220514,female,New York,desktop,18-24,76,0
20220810,male,California,desktop,25-34,76,38
20220926,female,California,desktop,18-24,76,68
20221003,male,California,desktop,25-34,76,23
20221108,male,California,desktop,25-34,76,4
20221201,male,California,desktop,25-34,76,11
20221206,male,Ontario,desktop,18-24,76,129
20221207,male,California,desktop,35-44,76,4
20221208,male,California,desktop,25-34,76,72
20221214,male,California,desktop,25-34,76,8
20211103,female,California,desktop,25-34,72,38
20211208,male,California,desktop,25-34,72,53
20220324,male,California,desktop,35-44,72,57
20220514,male,New York,desktop,18-24,72,0
20220515,male,New York,desktop,25-34,72,11
20220607,male,California,desktop,25-34,72,8
20220719,male,California,desktop,25-34,72,19
20220727,male,California,desktop,25-34,72,26
20220728,male,California,desktop,25-34,72,26
20220829,male,California,desktop,25-34,72,57
20220906,male,California,desktop,25-34,72,4
20220915,male,California,desktop,25-34,72,19
20220926,male,California,desktop,45-54,72,64
20220927,male,England,desktop,25-34,72,38
20221104,male,California,desktop,35-44,72,34
20221108,male,California,desktop,35-44,72,15
20221116,male,California,desktop,25-34,72,26
20221117,female,California,desktop,25-34,72,8
20221121,male,California,desktop,25-34,72,26
20221122,male,California,desktop,25-34,72,64
20221207,female,California,desktop,18-24,72,26
20221207,female,California,desktop,25-34,72,79
20210715,male,California,desktop,25-34,68,23
20211006,male,California,desktop,25-34,68,87
20211209,female,California,desktop,25-34,68,38
20211209,male,California,desktop,25-34,68,79
20220405,female,California,desktop,25-34,68,42
20220502,male,California,desktop,25-34,68,42
20220511,female,New York,desktop,25-34,68,0
20220513,male,New York,desktop,25-34,68,0
20220801,male,California,desktop,18-24,68,34
20220901,male,California,desktop,25-34,68,19
20220908,male,California,desktop,25-34,68,53
20220926,female,California,desktop,35-44,68,45
20220928,male,California,desktop,25-34,68,42
20221101,male,California,desktop,35-44,68,15
20221107,male,California,desktop,35-44,68,45
20221128,female,California,desktop,35-44,68,19
20221206,male,Ontario,desktop,25-34,68,68
20221206,male,California,desktop,25-34,68,11
20221207,male,California,mobile,25-34,68,68
